国企指数,7360.67,224.12,3.14,7372.35,7074.41
红筹指数,3757.66,104.83,2.87,3758.23,3635.05
恒生指数,20414.09,548.24,2.76,20433.73,19695.51
斯里兰卡科伦坡,13718.75,105.38,0.77,13739.8,13612.95
印尼雅加达综合,7437.73,54.94,0.74,7440.98,7380.66
巴基斯坦卡拉奇,109655.84,601.89,0.55,110248.98,107651.49
台湾加权,23273.25,79.98,0.34,23325.99,23172.22
越南胡志明,1273.84,3.7,0.29,1277.69,1268.69
日经225,39160.5,69.33,0.18,39332.55,38972.78
富时新加坡海峡时报,3794.92,-1.24,-0.03,3799.23,3786.05
上证指数,3402.53,-1.55,-0.05,3426.65,3385.96
富时马来西亚KLCI,1611.43,-1.82,-0.11,1611.43,1602.94
沪深300,3966.57,-6.57,-0.17,3995.51,3948.42
印度孟买SENSEX,81508.46,-200.66,-0.25,81781.33,81413.56
泰国SET,1447.53,-4.43,-0.31,1450.41,1441.99
中小100,6543.96,-23.23,-0.35,6606.35,6508.84
深证成指,10731.66,-59.68,-0.55,10821.51,10668.33
菲律宾马尼拉,6680.57,-48.57,-0.72,6718.06,6670.23
创业板指,2248.63,-18.43,-0.81,2273.08,2229.51
韩国KOSPI200,313.74,-8.33,-2.59,318.7,313.51
